WikidataURI,EventName,StartDate,EndDate,EventType,City,Attendance
,Strawberry Fair Cambridge,2010-06-15 00:00:00.000,2010-06-18 00:00:00.000,Fictitious,Cambridge,13517
,Cambridge Junction Music Events,2010-06-17 00:00:00.000,2010-06-20 00:00:00.000,Fictitious,Cambridge,5047
,Cambridge Summer Music Festival,2010-07-01 00:00:00.000,2010-07-04 00:00:00.000,Fictitious,Cambridge,8959
,Cambridge Folk Festival,2010-07-05 00:00:00.000,2010-07-08 00:00:00.000,Fictitious,Cambridge,13430
,Cambridge Film Festival,2010-10-26 00:00:00.000,2010-10-28 00:00:00.000,Fictitious,Cambridge,20568
,Cambridge Christmas Market,2010-11-03 00:00:00.000,2010-11-10 00:00:00.000,Fictitious,Cambridge,79424
,Cambridge Science Festival,2011-03-15 00:00:00.000,2011-03-22 00:00:00.000,Fictitious,Cambridge,22427
,Cambridge Half Marathon,2011-03-22 00:00:00.000,2011-03-23 00:00:00.000,Fictitious,Cambridge,6296
,Cambridge Literary Festival,2011-04-03 00:00:00.000,2011-04-10 00:00:00.000,Fictitious,Cambridge,8943
,Cambridge Beer Festival,2011-05-19 00:00:00.000,2011-05-26 00:00:00.000,Fictitious,Cambridge,46398
,Strawberry Fair Cambridge,2011-06-09 00:00:00.000,2011-06-12 00:00:00.000,Fictitious,Cambridge,14363
,Cambridge Junction Music Events,2011-06-15 00:00:00.000,2011-06-18 00:00:00.000,Fictitious,Cambridge,4496
,Cambridge Summer Music Festival,2011-07-22 00:00:00.000,2011-07-25 00:00:00.000,Fictitious,Cambridge,8617
,Cambridge Folk Festival,2011-07-25 00:00:00.000,2011-07-28 00:00:00.000,Fictitious,Cambridge,12971
,Cambridge Film Festival,2011-10-25 00:00:00.000,2011-10-28 00:00:00.000,Fictitious,Cambridge,20108
,Cambridge Christmas Market,2011-11-14 00:00:00.000,2011-11-21 00:00:00.000,Fictitious,Cambridge,76799
,Cambridge Half Marathon,2012-03-08 00:00:00.000,2012-03-09 00:00:00.000,Fictitious,Cambridge,6452
,Cambridge Science Festival,2012-03-08 00:00:00.000,2012-03-15 00:00:00.000,Fictitious,Cambridge,27543
,Cambridge Literary Festival,2012-04-26 00:00:00.000,2012-04-28 00:00:00.000,Fictitious,Cambridge,9538
,Cambridge Beer Festival,2012-05-02 00:00:00.000,2012-05-09 00:00:00.000,Fictitious,Cambridge,41238
,Cambridge Junction Music Events,2012-06-02 00:00:00.000,2012-06-05 00:00:00.000,Fictitious,Cambridge,5467
,Strawberry Fair Cambridge,2012-06-25 00:00:00.000,2012-06-28 00:00:00.000,Fictitious,Cambridge,14655
,Cambridge Summer Music Festival,2012-07-19 00:00:00.000,2012-07-22 00:00:00.000,Fictitious,Cambridge,7117
,Cambridge Folk Festival,2012-07-28 00:00:00.000,2012-07-28 00:00:00.000,Fictitious,Cambridge,11478
,Cambridge Film Festival,2012-10-15 00:00:00.000,2012-10-22 00:00:00.000,Fictitious,Cambridge,21960
,Cambridge Christmas Market,2012-11-22 00:00:00.000,2012-11-28 00:00:00.000,Fictitious,Cambridge,72408
,Cambridge Half Marathon,2013-03-03 00:00:00.000,2013-03-04 00:00:00.000,Fictitious,Cambridge,6422
,Cambridge Science Festival,2013-03-26 00:00:00.000,2013-03-28 00:00:00.000,Fictitious,Cambridge,26747
,Cambridge Literary Festival,2013-04-24 00:00:00.000,2013-04-28 00:00:00.000,Fictitious,Cambridge,10778
,Cambridge Beer Festival,2013-05-26 00:00:00.000,2013-05-28 00:00:00.000,Fictitious,Cambridge,45678
,Strawberry Fair Cambridge,2013-06-17 00:00:00.000,2013-06-20 00:00:00.000,Fictitious,Cambridge,16169
,Cambridge Junction Music Events,2013-06-24 00:00:00.000,2013-06-27 00:00:00.000,Fictitious,Cambridge,4786
,Cambridge Folk Festival,2013-07-10 00:00:00.000,2013-07-13 00:00:00.000,Fictitious,Cambridge,12904
,Cambridge Summer Music Festival,2013-07-25 00:00:00.000,2013-07-28 00:00:00.000,Fictitious,Cambridge,7376
,Cambridge Film Festival,2013-10-10 00:00:00.000,2013-10-17 00:00:00.000,Fictitious,Cambridge,21728
,Cambridge Christmas Market,2013-11-06 00:00:00.000,2013-11-13 00:00:00.000,Fictitious,Cambridge,76732
,Cambridge Half Marathon,2014-03-14 00:00:00.000,2014-03-15 00:00:00.000,Fictitious,Cambridge,6916
,Cambridge Science Festival,2014-03-19 00:00:00.000,2014-03-26 00:00:00.000,Fictitious,Cambridge,25967
,Cambridge Literary Festival,2014-04-10 00:00:00.000,2014-04-17 00:00:00.000,Fictitious,Cambridge,9853
,Cambridge Beer Festival,2014-05-10 00:00:00.000,2014-05-17 00:00:00.000,Fictitious,Cambridge,40519
,Strawberry Fair Cambridge,2014-06-01 00:00:00.000,2014-06-04 00:00:00.000,Fictitious,Cambridge,15567
,Cambridge Junction Music Events,2014-06-09 00:00:00.000,2014-06-12 00:00:00.000,Fictitious,Cambridge,4431
,Cambridge Folk Festival,2014-07-15 00:00:00.000,2014-07-18 00:00:00.000,Fictitious,Cambridge,12503
,Cambridge Summer Music Festival,2014-07-17 00:00:00.000,2014-07-20 00:00:00.000,Fictitious,Cambridge,8290
,Cambridge Film Festival,2014-10-14 00:00:00.000,2014-10-21 00:00:00.000,Fictitious,Cambridge,19065
,Cambridge Christmas Market,2014-11-23 00:00:00.000,2014-11-28 00:00:00.000,Fictitious,Cambridge,79913
,Cambridge Science Festival,2015-03-07 00:00:00.000,2015-03-14 00:00:00.000,Fictitious,Cambridge,24550
,Cambridge Half Marathon,2015-03-20 00:00:00.000,2015-03-21 00:00:00.000,Fictitious,Cambridge,6949
,Cambridge Literary Festival,2015-04-15 00:00:00.000,2015-04-22 00:00:00.000,Fictitious,Cambridge,10452
,Cambridge Beer Festival,2015-05-08 00:00:00.000,2015-05-15 00:00:00.000,Fictitious,Cambridge,40879
,Cambridge Junction Music Events,2015-06-08 00:00:00.000,2015-06-11 00:00:00.000,Fictitious,Cambridge,5554
,Strawberry Fair Cambridge,2015-06-18 00:00:00.000,2015-06-21 00:00:00.000,Fictitious,Cambridge,14863
,Cambridge Folk Festival,2015-07-02 00:00:00.000,2015-07-05 00:00:00.000,Fictitious,Cambridge,12227
,Cambridge Summer Music Festival,2015-07-09 00:00:00.000,2015-07-12 00:00:00.000,Fictitious,Cambridge,7388
,Cambridge Film Festival,2015-10-20 00:00:00.000,2015-10-27 00:00:00.000,Fictitious,Cambridge,17889
,Cambridge Christmas Market,2015-11-22 00:00:00.000,2015-11-28 00:00:00.000,Fictitious,Cambridge,88547
,Cambridge Half Marathon,2016-03-02 00:00:00.000,2016-03-03 00:00:00.000,Fictitious,Cambridge,6548
,Cambridge Science Festival,2016-03-18 00:00:00.000,2016-03-25 00:00:00.000,Fictitious,Cambridge,23348
,Cambridge Literary Festival,2016-04-23 00:00:00.000,2016-04-28 00:00:00.000,Fictitious,Cambridge,9766
,Cambridge Beer Festival,2016-05-25 00:00:00.000,2016-05-28 00:00:00.000,Fictitious,Cambridge,44094
,Strawberry Fair Cambridge,2016-06-02 00:00:00.000,2016-06-05 00:00:00.000,Fictitious,Cambridge,13875
,Cambridge Junction Music Events,2016-06-27 00:00:00.000,2016-06-28 00:00:00.000,Fictitious,Cambridge,5432
,Cambridge Summer Music Festival,2016-07-19 00:00:00.000,2016-07-22 00:00:00.000,Fictitious,Cambridge,7876
,Cambridge Folk Festival,2016-07-28 00:00:00.000,2016-07-28 00:00:00.000,Fictitious,Cambridge,12930
,Cambridge Film Festival,2016-10-24 00:00:00.000,2016-10-28 00:00:00.000,Fictitious,Cambridge,18076
,Cambridge Christmas Market,2016-11-27 00:00:00.000,2016-11-28 00:00:00.000,Fictitious,Cambridge,85001
,Liverpool Half Marathon,2010-03-06 00:00:00.000,2010-03-07 00:00:00.000,Fictitious,Liverpool,7425
,Grand National,2010-04-04 00:00:00.000,2010-04-05 00:00:00.000,Fictitious,Liverpool,140539
,Liverpool Sound City,2010-05-03 00:00:00.000,2010-05-06 00:00:00.000,Fictitious,Liverpool,20525
,Africa Oye Liverpool,2010-06-09 00:00:00.000,2010-06-12 00:00:00.000,Fictitious,Liverpool,50438
,Liverpool International Tennis Tournament,2010-06-26 00:00:00.000,2010-06-27 00:00:00.000,Fictitious,Liverpool,13614
,Liverpool Pride,2010-07-02 00:00:00.000,2010-07-09 00:00:00.000,Fictitious,Liverpool,21970
,Liverpool Biennial,2010-07-04 00:00:00.000,2010-07-11 00:00:00.000,Fictitious,Liverpool,187270
,Liverpool International Music Festival,2010-08-10 00:00:00.000,2010-08-13 00:00:00.000,Fictitious,Liverpool,41705
,Liverpool Food and Drink Festival,2010-09-22 00:00:00.000,2010-09-28 00:00:00.000,Fictitious,Liverpool,32436
,Liverpool Christmas Markets,2010-11-11 00:00:00.000,2010-11-18 00:00:00.000,Fictitious,Liverpool,219932
,Liverpool Half Marathon,2011-03-26 00:00:00.000,2011-03-27 00:00:00.000,Fictitious,Liverpool,8075
,Grand National,2011-04-19 00:00:00.000,2011-04-20 00:00:00.000,Fictitious,Liverpool,144922
,Liverpool Sound City,2011-05-13 00:00:00.000,2011-05-16 00:00:00.000,Fictitious,Liverpool,20574
,Liverpool International Tennis Tournament,2011-06-03 00:00:00.000,2011-06-04 00:00:00.000,Fictitious,Liverpool,13706
,Africa Oye Liverpool,2011-06-15 00:00:00.000,2011-06-18 00:00:00.000,Fictitious,Liverpool,48423
,Liverpool Biennial,2011-07-18 00:00:00.000,2011-07-25 00:00:00.000,Fictitious,Liverpool,182511
,Liverpool Pride,2011-07-24 00:00:00.000,2011-07-28 00:00:00.000,Fictitious,Liverpool,19984
,Liverpool International Music Festival,2011-08-06 00:00:00.000,2011-08-09 00:00:00.000,Fictitious,Liverpool,35909
,Liverpool Food and Drink Festival,2011-09-21 00:00:00.000,2011-09-28 00:00:00.000,Fictitious,Liverpool,27099
,Liverpool Christmas Markets,2011-11-08 00:00:00.000,2011-11-15 00:00:00.000,Fictitious,Liverpool,207087
,Liverpool Half Marathon,2012-03-12 00:00:00.000,2012-03-13 00:00:00.000,Fictitious,Liverpool,8059
,Grand National,2012-04-10 00:00:00.000,2012-04-11 00:00:00.000,Fictitious,Liverpool,167736
,Liverpool Sound City,2012-05-08 00:00:00.000,2012-05-11 00:00:00.000,Fictitious,Liverpool,19988
,Liverpool International Tennis Tournament,2012-06-08 00:00:00.000,2012-06-09 00:00:00.000,Fictitious,Liverpool,16296
,Africa Oye Liverpool,2012-06-24 00:00:00.000,2012-06-27 00:00:00.000,Fictitious,Liverpool,52068
,Liverpool Pride,2012-07-10 00:00:00.000,2012-07-17 00:00:00.000,Fictitious,Liverpool,21323
,Liverpool Biennial,2012-07-15 00:00:00.000,2012-07-22 00:00:00.000,Fictitious,Liverpool,193808
,Liverpool International Music Festival,2012-08-12 00:00:00.000,2012-08-15 00:00:00.000,Fictitious,Liverpool,44681
,Liverpool Food and Drink Festival,2012-09-21 00:00:00.000,2012-09-28 00:00:00.000,Fictitious,Liverpool,31053
,Liverpool Christmas Markets,2012-11-21 00:00:00.000,2012-11-28 00:00:00.000,Fictitious,Liverpool,215545
,Liverpool Half Marathon,2013-03-09 00:00:00.000,2013-03-10 00:00:00.000,Fictitious,Liverpool,8634
,Grand National,2013-04-10 00:00:00.000,2013-04-11 00:00:00.000,Fictitious,Liverpool,132789
,Liverpool Sound City,2013-05-19 00:00:00.000,2013-05-22 00:00:00.000,Fictitious,Liverpool,18286
,Africa Oye Liverpool,2013-06-19 00:00:00.000,2013-06-22 00:00:00.000,Fictitious,Liverpool,48572
,Liverpool International Tennis Tournament,2013-06-24 00:00:00.000,2013-06-25 00:00:00.000,Fictitious,Liverpool,15627
,Liverpool Pride,2013-07-08 00:00:00.000,2013-07-15 00:00:00.000,Fictitious,Liverpool,20513
,Liverpool Biennial,2013-07-24 00:00:00.000,2013-07-28 00:00:00.000,Fictitious,Liverpool,209431
,Liverpool International Music Festival,2013-08-10 00:00:00.000,2013-08-13 00:00:00.000,Fictitious,Liverpool,41333
,Liverpool Food and Drink Festival,2013-09-10 00:00:00.000,2013-09-17 00:00:00.000,Fictitious,Liverpool,32077
,Liverpool Christmas Markets,2013-11-23 00:00:00.000,2013-11-28 00:00:00.000,Fictitious,Liverpool,190505
,Liverpool Half Marathon,2014-03-09 00:00:00.000,2014-03-10 00:00:00.000,Fictitious,Liverpool,8794
,Grand National,2014-04-27 00:00:00.000,2014-04-28 00:00:00.000,Fictitious,Liverpool,155696
,Liverpool Sound City,2014-05-15 00:00:00.000,2014-05-18 00:00:00.000,Fictitious,Liverpool,20661
,Liverpool International Tennis Tournament,2014-06-13 00:00:00.000,2014-06-14 00:00:00.000,Fictitious,Liverpool,16682
,Africa Oye Liverpool,2014-06-21 00:00:00.000,2014-06-24 00:00:00.000,Fictitious,Liverpool,55283
,Liverpool Pride,2014-07-12 00:00:00.000,2014-07-19 00:00:00.000,Fictitious,Liverpool,18651
,Liverpool Biennial,2014-07-18 00:00:00.000,2014-07-25 00:00:00.000,Fictitious,Liverpool,196118
,Liverpool International Music Festival,2014-08-14 00:00:00.000,2014-08-17 00:00:00.000,Fictitious,Liverpool,41827
,Liverpool Food and Drink Festival,2014-09-02 00:00:00.000,2014-09-09 00:00:00.000,Fictitious,Liverpool,30572
,Liverpool Christmas Markets,2014-11-14 00:00:00.000,2014-11-21 00:00:00.000,Fictitious,Liverpool,181600
,Liverpool Half Marathon,2015-03-16 00:00:00.000,2015-03-17 00:00:00.000,Fictitious,Liverpool,8897
,Grand National,2015-04-09 00:00:00.000,2015-04-10 00:00:00.000,Fictitious,Liverpool,132291
,Liverpool Sound City,2015-05-15 00:00:00.000,2015-05-18 00:00:00.000,Fictitious,Liverpool,18825
,Africa Oye Liverpool,2015-06-04 00:00:00.000,2015-06-07 00:00:00.000,Fictitious,Liverpool,52098
,Liverpool International Tennis Tournament,2015-06-26 00:00:00.000,2015-06-27 00:00:00.000,Fictitious,Liverpool,15206
,Liverpool Pride,2015-07-07 00:00:00.000,2015-07-14 00:00:00.000,Fictitious,Liverpool,20580
,Liverpool Biennial,2015-07-24 00:00:00.000,2015-07-28 00:00:00.000,Fictitious,Liverpool,210876
,Liverpool International Music Festival,2015-08-15 00:00:00.000,2015-08-18 00:00:00.000,Fictitious,Liverpool,43314
,Liverpool Food and Drink Festival,2015-09-24 00:00:00.000,2015-09-28 00:00:00.000,Fictitious,Liverpool,27346
,Liverpool Christmas Markets,2015-11-02 00:00:00.000,2015-11-09 00:00:00.000,Fictitious,Liverpool,221420
,Liverpool Half Marathon,2016-03-10 00:00:00.000,2016-03-11 00:00:00.000,Fictitious,Liverpool,8473
,Grand National,2016-04-28 00:00:00.000,2016-04-28 00:00:00.000,Fictitious,Liverpool,156688
,Liverpool Sound City,2016-05-01 00:00:00.000,2016-05-04 00:00:00.000,Fictitious,Liverpool,21914
,Liverpool International Tennis Tournament,2016-06-03 00:00:00.000,2016-06-04 00:00:00.000,Fictitious,Liverpool,16046
,Africa Oye Liverpool,2016-06-16 00:00:00.000,2016-06-19 00:00:00.000,Fictitious,Liverpool,44300
,Liverpool Biennial,2016-07-14 00:00:00.000,2016-07-21 00:00:00.000,Fictitious,Liverpool,207436
,Liverpool Pride,2016-07-22 00:00:00.000,2016-07-28 00:00:00.000,Fictitious,Liverpool,21226
,Liverpool International Music Festival,2016-08-07 00:00:00.000,2016-08-10 00:00:00.000,Fictitious,Liverpool,44793
,Liverpool Food and Drink Festival,2016-09-10 00:00:00.000,2016-09-17 00:00:00.000,Fictitious,Liverpool,28752
,Liverpool Christmas Markets,2016-11-10 00:00:00.000,2016-11-17 00:00:00.000,Fictitious,Liverpool,223804
,Crufts Dog Show,2010-03-20 00:00:00.000,2010-03-21 00:00:00.000,Fictitious,Birmingham,152854
,Birmingham Pride,2010-05-20 00:00:00.000,2010-05-27 00:00:00.000,Fictitious,Birmingham,42394
,Birmingham NEC Motor Show,2010-05-22 00:00:00.000,2010-05-28 00:00:00.000,Fictitious,Birmingham,52977
,Birmingham International Jazz and Blues Festival,2010-07-09 00:00:00.000,2010-07-12 00:00:00.000,Fictitious,Birmingham,18375
,Brindleyplace Canal Festival,2010-08-07 00:00:00.000,2010-08-14 00:00:00.000,Fictitious,Birmingham,32939
,Artsfest Birmingham,2010-09-14 00:00:00.000,2010-09-21 00:00:00.000,Fictitious,Birmingham,63741
,Birmingham Literature Festival,2010-10-04 00:00:00.000,2010-10-11 00:00:00.000,Fictitious,Birmingham,21809
,Birmingham International Marathon,2010-10-26 00:00:00.000,2010-10-27 00:00:00.000,Fictitious,Birmingham,11274
,Frankfurt Christmas Market Birmingham,2010-11-08 00:00:00.000,2010-11-15 00:00:00.000,Fictitious,Birmingham,797111
,Crufts Dog Show,2011-03-28 00:00:00.000,2011-03-28 00:00:00.000,Fictitious,Birmingham,145585
,Birmingham NEC Motor Show,2011-05-06 00:00:00.000,2011-05-13 00:00:00.000,Fictitious,Birmingham,51386
,Birmingham Pride,2011-05-08 00:00:00.000,2011-05-15 00:00:00.000,Fictitious,Birmingham,43500
,Birmingham International Jazz and Blues Festival,2011-07-15 00:00:00.000,2011-07-18 00:00:00.000,Fictitious,Birmingham,20248
,Brindleyplace Canal Festival,2011-08-23 00:00:00.000,2011-08-28 00:00:00.000,Fictitious,Birmingham,34462
,Artsfest Birmingham,2011-09-10 00:00:00.000,2011-09-17 00:00:00.000,Fictitious,Birmingham,67726
,Birmingham International Marathon,2011-10-06 00:00:00.000,2011-10-07 00:00:00.000,Fictitious,Birmingham,12827
,Birmingham Literature Festival,2011-10-09 00:00:00.000,2011-10-16 00:00:00.000,Fictitious,Birmingham,18457
,Frankfurt Christmas Market Birmingham,2011-11-07 00:00:00.000,2011-11-14 00:00:00.000,Fictitious,Birmingham,878068
,Crufts Dog Show,2012-03-10 00:00:00.000,2012-03-11 00:00:00.000,Fictitious,Birmingham,160273
,Birmingham NEC Motor Show,2012-05-10 00:00:00.000,2012-05-17 00:00:00.000,Fictitious,Birmingham,48872
,Birmingham Pride,2012-05-26 00:00:00.000,2012-05-28 00:00:00.000,Fictitious,Birmingham,42983
,Birmingham International Jazz and Blues Festival,2012-07-14 00:00:00.000,2012-07-17 00:00:00.000,Fictitious,Birmingham,20292
,Brindleyplace Canal Festival,2012-08-17 00:00:00.000,2012-08-24 00:00:00.000,Fictitious,Birmingham,38574
,Artsfest Birmingham,2012-09-26 00:00:00.000,2012-09-28 00:00:00.000,Fictitious,Birmingham,77932
,Birmingham International Marathon,2012-10-04 00:00:00.000,2012-10-05 00:00:00.000,Fictitious,Birmingham,11661
,Birmingham Literature Festival,2012-10-09 00:00:00.000,2012-10-16 00:00:00.000,Fictitious,Birmingham,17783
,Frankfurt Christmas Market Birmingham,2012-11-09 00:00:00.000,2012-11-16 00:00:00.000,Fictitious,Birmingham,978700
,Crufts Dog Show,2013-03-22 00:00:00.000,2013-03-23 00:00:00.000,Fictitious,Birmingham,156482
,Birmingham Pride,2013-05-14 00:00:00.000,2013-05-21 00:00:00.000,Fictitious,Birmingham,35437
,Birmingham NEC Motor Show,2013-05-27 00:00:00.000,2013-05-28 00:00:00.000,Fictitious,Birmingham,44004
,Birmingham International Jazz and Blues Festival,2013-07-04 00:00:00.000,2013-07-07 00:00:00.000,Fictitious,Birmingham,17961
,Brindleyplace Canal Festival,2013-08-18 00:00:00.000,2013-08-25 00:00:00.000,Fictitious,Birmingham,36569
,Artsfest Birmingham,2013-09-02 00:00:00.000,2013-09-09 00:00:00.000,Fictitious,Birmingham,76701
,Birmingham International Marathon,2013-10-02 00:00:00.000,2013-10-03 00:00:00.000,Fictitious,Birmingham,13032
,Birmingham Literature Festival,2013-10-20 00:00:00.000,2013-10-27 00:00:00.000,Fictitious,Birmingham,19685
,Frankfurt Christmas Market Birmingham,2013-11-25 00:00:00.000,2013-11-28 00:00:00.000,Fictitious,Birmingham,852290
,Crufts Dog Show,2014-03-13 00:00:00.000,2014-03-14 00:00:00.000,Fictitious,Birmingham,167572
,Birmingham NEC Motor Show,2014-05-10 00:00:00.000,2014-05-17 00:00:00.000,Fictitious,Birmingham,46522
,Birmingham Pride,2014-05-24 00:00:00.000,2014-05-28 00:00:00.000,Fictitious,Birmingham,44075
,Birmingham International Jazz and Blues Festival,2014-07-23 00:00:00.000,2014-07-26 00:00:00.000,Fictitious,Birmingham,21938
,Brindleyplace Canal Festival,2014-08-24 00:00:00.000,2014-08-28 00:00:00.000,Fictitious,Birmingham,36991
,Artsfest Birmingham,2014-09-07 00:00:00.000,2014-09-14 00:00:00.000,Fictitious,Birmingham,73058
,Birmingham International Marathon,2014-10-08 00:00:00.000,2014-10-09 00:00:00.000,Fictitious,Birmingham,11134
,Birmingham Literature Festival,2014-10-24 00:00:00.000,2014-10-28 00:00:00.000,Fictitious,Birmingham,21374
,Frankfurt Christmas Market Birmingham,2014-11-21 00:00:00.000,2014-11-28 00:00:00.000,Fictitious,Birmingham,902031
,Crufts Dog Show,2015-03-18 00:00:00.000,2015-03-19 00:00:00.000,Fictitious,Birmingham,145687
,Birmingham Pride,2015-05-26 00:00:00.000,2015-05-28 00:00:00.000,Fictitious,Birmingham,44135
,Birmingham NEC Motor Show,2015-05-26 00:00:00.000,2015-05-28 00:00:00.000,Fictitious,Birmingham,50959
,Birmingham International Jazz and Blues Festival,2015-07-18 00:00:00.000,2015-07-21 00:00:00.000,Fictitious,Birmingham,17772
,Brindleyplace Canal Festival,2015-08-07 00:00:00.000,2015-08-14 00:00:00.000,Fictitious,Birmingham,33859
,Artsfest Birmingham,2015-09-22 00:00:00.000,2015-09-28 00:00:00.000,Fictitious,Birmingham,63326
,Birmingham Literature Festival,2015-10-14 00:00:00.000,2015-10-21 00:00:00.000,Fictitious,Birmingham,20509
,Birmingham International Marathon,2015-10-15 00:00:00.000,2015-10-16 00:00:00.000,Fictitious,Birmingham,11567
,Frankfurt Christmas Market Birmingham,2015-11-22 00:00:00.000,2015-11-28 00:00:00.000,Fictitious,Birmingham,1003928
,Crufts Dog Show,2016-03-14 00:00:00.000,2016-03-15 00:00:00.000,Fictitious,Birmingham,166333
,Birmingham NEC Motor Show,2016-05-21 00:00:00.000,2016-05-28 00:00:00.000,Fictitious,Birmingham,47866
,Birmingham Pride,2016-05-26 00:00:00.000,2016-05-28 00:00:00.000,Fictitious,Birmingham,41631
,Birmingham International Jazz and Blues Festival,2016-07-12 00:00:00.000,2016-07-15 00:00:00.000,Fictitious,Birmingham,20396
,Brindleyplace Canal Festival,2016-08-03 00:00:00.000,2016-08-10 00:00:00.000,Fictitious,Birmingham,38770
,Artsfest Birmingham,2016-09-25 00:00:00.000,2016-09-28 00:00:00.000,Fictitious,Birmingham,71006
,Birmingham Literature Festival,2016-10-17 00:00:00.000,2016-10-24 00:00:00.000,Fictitious,Birmingham,18155
,Birmingham International Marathon,2016-10-27 00:00:00.000,2016-10-28 00:00:00.000,Fictitious,Birmingham,12850
,Frankfurt Christmas Market Birmingham,2016-11-18 00:00:00.000,2016-11-25 00:00:00.000,Fictitious,Birmingham,863528
,Manchester Half Marathon,2010-05-02 00:00:00.000,2010-05-03 00:00:00.000,Fictitious,Manchester,15892
,Parklife Festival Manchester,2010-06-17 00:00:00.000,2010-06-20 00:00:00.000,Fictitious,Manchester,70550
,Manchester International Festival,2010-07-07 00:00:00.000,2010-07-14 00:00:00.000,Fictitious,Manchester,108316
,Manchester Jazz Festival,2010-07-08 00:00:00.000,2010-07-11 00:00:00.000,Fictitious,Manchester,37039
,Manchester Pride,2010-08-28 00:00:00.000,2010-08-28 00:00:00.000,Fictitious,Manchester,74915
,Manchester Food and Drink Festival,2010-09-26 00:00:00.000,2010-09-28 00:00:00.000,Fictitious,Manchester,53421
,Manchester Literary Festival,2010-10-18 00:00:00.000,2010-10-25 00:00:00.000,Fictitious,Manchester,13967
,Manchester Science Festival,2010-10-27 00:00:00.000,2010-10-28 00:00:00.000,Fictitious,Manchester,53012
,Manchester International Fireworks Competition,2010-11-07 00:00:00.000,2010-11-14 00:00:00.000,Fictitious,Manchester,26124
,Manchester Christmas Markets,2010-11-22 00:00:00.000,2010-11-28 00:00:00.000,Fictitious,Manchester,525943
,Manchester Half Marathon,2011-05-02 00:00:00.000,2011-05-03 00:00:00.000,Fictitious,Manchester,13380
,Parklife Festival Manchester,2011-06-27 00:00:00.000,2011-06-28 00:00:00.000,Fictitious,Manchester,81048
,Manchester Jazz Festival,2011-07-18 00:00:00.000,2011-07-21 00:00:00.000,Fictitious,Manchester,39506
,Manchester International Festival,2011-07-22 00:00:00.000,2011-07-28 00:00:00.000,Fictitious,Manchester,118014
,Manchester Pride,2011-08-04 00:00:00.000,2011-08-11 00:00:00.000,Fictitious,Manchester,88478
,Manchester Food and Drink Festival,2011-09-10 00:00:00.000,2011-09-17 00:00:00.000,Fictitious,Manchester,49076
,Manchester Science Festival,2011-10-03 00:00:00.000,2011-10-10 00:00:00.000,Fictitious,Manchester,66139
,Manchester Literary Festival,2011-10-09 00:00:00.000,2011-10-16 00:00:00.000,Fictitious,Manchester,13676
,Manchester Christmas Markets,2011-11-08 00:00:00.000,2011-11-15 00:00:00.000,Fictitious,Manchester,471873
,Manchester International Fireworks Competition,2011-11-28 00:00:00.000,2011-11-28 00:00:00.000,Fictitious,Manchester,23583
,Manchester Half Marathon,2012-05-16 00:00:00.000,2012-05-17 00:00:00.000,Fictitious,Manchester,15010
,Parklife Festival Manchester,2012-06-22 00:00:00.000,2012-06-25 00:00:00.000,Fictitious,Manchester,72388
,Manchester International Festival,2012-07-14 00:00:00.000,2012-07-21 00:00:00.000,Fictitious,Manchester,117439
,Manchester Jazz Festival,2012-07-14 00:00:00.000,2012-07-17 00:00:00.000,Fictitious,Manchester,36961
,Manchester Pride,2012-08-19 00:00:00.000,2012-08-26 00:00:00.000,Fictitious,Manchester,75127
,Manchester Food and Drink Festival,2012-09-24 00:00:00.000,2012-09-28 00:00:00.000,Fictitious,Manchester,55945
,Manchester Literary Festival,2012-10-12 00:00:00.000,2012-10-19 00:00:00.000,Fictitious,Manchester,16371
,Manchester Science Festival,2012-10-28 00:00:00.000,2012-10-28 00:00:00.000,Fictitious,Manchester,56203
,Manchester Christmas Markets,2012-11-05 00:00:00.000,2012-11-12 00:00:00.000,Fictitious,Manchester,520602
,Manchester International Fireworks Competition,2012-11-16 00:00:00.000,2012-11-23 00:00:00.000,Fictitious,Manchester,23506
,Manchester Half Marathon,2013-05-28 00:00:00.000,2013-05-28 00:00:00.000,Fictitious,Manchester,15112
,Parklife Festival Manchester,2013-06-05 00:00:00.000,2013-06-08 00:00:00.000,Fictitious,Manchester,75477
,Manchester Jazz Festival,2013-07-15 00:00:00.000,2013-07-18 00:00:00.000,Fictitious,Manchester,37598
,Manchester International Festival,2013-07-28 00:00:00.000,2013-07-28 00:00:00.000,Fictitious,Manchester,126597
,Manchester Pride,2013-08-20 00:00:00.000,2013-08-27 00:00:00.000,Fictitious,Manchester,71163
,Manchester Food and Drink Festival,2013-09-18 00:00:00.000,2013-09-25 00:00:00.000,Fictitious,Manchester,51942
,Manchester Literary Festival,2013-10-08 00:00:00.000,2013-10-15 00:00:00.000,Fictitious,Manchester,14530
,Manchester Science Festival,2013-10-14 00:00:00.000,2013-10-21 00:00:00.000,Fictitious,Manchester,59793
,Manchester Christmas Markets,2013-11-10 00:00:00.000,2013-11-17 00:00:00.000,Fictitious,Manchester,494866
,Manchester International Fireworks Competition,2013-11-28 00:00:00.000,2013-11-28 00:00:00.000,Fictitious,Manchester,22304
,Manchester Half Marathon,2014-05-02 00:00:00.000,2014-05-03 00:00:00.000,Fictitious,Manchester,16658
,Parklife Festival Manchester,2014-06-04 00:00:00.000,2014-06-07 00:00:00.000,Fictitious,Manchester,84654
